011b  // (1, 27)
2a2a  // (42, 42)

1617  // (22, 23)
0a28  // (10, 40)
2618  // (38, 24)
3e2b  // (62, 43)

021b  // (2, 27)
083d  // (8, 61)
170f  // (23, 15)

1e1f  // (30, 31)
2206  // (34, 6)
3c34  // (60, 52)

0227  // (2, 39)
1a2b  // (26, 43)
1f2b  // (31, 43)
202a  // (32, 42)

0723  // (7, 35)
1a3f  // (26, 63)
331b  // (51, 27)

022a  // (2, 42)
1e1e  // (30, 30)

121c  // (18, 28)

0f23  // (15, 35)
2f1b  // (47, 27)
3c37  // (60, 55)

1c35  // (28, 53)
171b  // (23, 27)
293d  // (41, 61)

1c23  // (28, 35)
2128  // (33, 40)
2903  // (41, 3)

1a2d  // (26, 45)
2626  // (38, 38)
3c0f  // (60, 15)

1509  // (21, 9)

0d1c  // (13, 28)
2434  // (36, 52)

141a  // (20, 26)
1b1f  // (27, 31)

0505  // (5, 5)
1324  // (19, 36)
2122  // (33, 34)

0b37  // (11, 55)
1209  // (18, 9)

2525  // (37, 37)

0c33  // (12, 51)

020a  // (2, 10)
373e  // (55, 62)

0b2c  // (11, 44)
3f18  // (63, 24)

033f  // (3, 63)
271f  // (39, 31)
2026  // (32, 38)
3d14  // (61, 20)

231e  // (35, 30)
3a01  // (58, 1)

1423  // (20, 35)
033d  // (3, 61)
1918  // (25, 24)
1a2f  // (26, 47)

2329  // (35, 41)
100b  // (16, 11)
2905  // (41, 5)

1c2d  // (28, 45)
3000  // (48, 0)
1d2f  // (29, 47)

0829  // (8, 41)
0a0d  // (10, 13)
3402  // (52, 2)
2719  // (39, 25)

1b15  // (27, 21)
1127  // (17, 39)
3b3b  // (59, 59)
2b0a  // (43, 10)

3728  // (55, 40)

261e  // (38, 30)
1728  // (23, 40)
2b24  // (43, 36)

0221  // (2, 33)
1822  // (24, 34)
2e04  // (46, 4)
2620  // (38, 32)

2115  // (33, 21)
0f2f  // (15, 47)
381d  // (56, 29)

210b  // (33, 11)

2c0a  // (44, 10)

0010  // (0, 16)
2a2b  // (42, 43)
2b15  // (43, 21)

1c28  // (28, 40)
1e24  // (30, 36)
2117  // (33, 23)

1636  // (22, 54)

0722  // (7, 34)
201f  // (32, 31)
2223  // (34, 35)
2417  // (36, 23)

081b  // (8, 27)
2a23  // (42, 35)

1829  // (24, 41)
291d  // (41, 29)
3636  // (54, 54)
3e0d  // (62, 13)

0514  // (5, 20)
193e  // (25, 62)
3f2c  // (63, 44)

0136  // (1, 54)
0a18  // (10, 24)
2a21  // (42, 33)
2a39  // (42, 57)

1418  // (20, 24)
2e32  // (46, 50)
3206  // (50, 6)

1a1f  // (26, 31)
1c03  // (28, 3)
1c2a  // (28, 42)

1d05  // (29, 5)
2808  // (40, 8)

251e  // (37, 30)
2518  // (37, 24)

1414  // (20, 20)
0a2c  // (10, 44)
2b14  // (43, 20)

1007  // (16, 7)
1220  // (18, 32)
2913  // (41, 19)

291b  // (41, 27)

2524  // (37, 36)
2525  // (37, 37)
281e  // (40, 30)
2918  // (41, 24)

2c38  // (44, 56)

2531  // (37, 49)

