3719  // (55, 25)
231b  // (35, 27)

0a2b  // (10, 43)
1225  // (18, 37)

0e1f  // (14, 31)
1b2b  // (27, 43)

051d  // (5, 29)
340e  // (52, 14)

1517  // (21, 23)
2a13  // (42, 19)

1526  // (21, 38)
230e  // (35, 14)

031e  // (3, 30)
3703  // (55, 3)

1f36  // (31, 54)
171d  // (23, 29)

0f33  // (15, 51)
2708  // (39, 8)

0b2b  // (11, 43)
3127  // (49, 39)

0b09  // (11, 9)
250a  // (37, 10)

2303  // (35, 3)
3724  // (55, 36)

2300  // (35, 0)
3b2f  // (59, 47)

2514  // (37, 20)
2819  // (40, 25)

071a  // (7, 26)
2819  // (40, 25)

2433  // (36, 51)
2019  // (32, 25)

1514  // (21, 20)
1b3e  // (27, 62)

0c3a  // (12, 58)
1715  // (23, 21)

3118  // (49, 24)
3f24  // (63, 36)

1012  // (16, 18)
2626  // (38, 38)

111c  // (17, 28)
2e15  // (46, 21)

1b25  // (27, 37)
342c  // (52, 44)

1621  // (22, 33)
3e2b  // (62, 43)

1405  // (20, 5)
3e16  // (62, 22)

1b24  // (27, 36)
2400  // (36, 0)

191c  // (25, 28)
3d2f  // (61, 47)

041e  // (4, 30)
2339  // (35, 57)

343f  // (52, 63)
3f1d  // (63, 29)

0305  // (3, 5)
2e1c  // (46, 28)

141f  // (20, 31)
2a28  // (42, 40)

0d24  // (13, 36)
2b31  // (43, 49)

2524  // (37, 36)
250a  // (37, 10)

173c  // (23, 60)
1d09  // (29, 9)

1b1d  // (27, 29)
1f3f  // (31, 63)

0d23  // (13, 35)
1b29  // (27, 41)

260b  // (38, 11)
1d24  // (29, 36)

1001  // (16, 1)
2c31  // (44, 49)

3c2b  // (60, 43)
3d24  // (61, 36)

2025  // (32, 37)
3816  // (56, 22)

1a09  // (26, 9)
1a3e  // (26, 62)

1b3f  // (27, 63)
1f1c  // (31, 28)

181f  // (24, 31)
310a  // (49, 10)

270c  // (39, 12)
2818  // (40, 24)

0c29  // (12, 41)
2401  // (36, 1)

2616  // (38, 22)
2718  // (39, 24)

2622  // (38, 34)
2626  // (38, 38)

1401  // (20, 1)
1b2a  // (27, 42)

1c09  // (28, 9)
372e  // (55, 46)

1600  // (22, 0)
1d3f  // (29, 63)

1b2b  // (27, 43)
0b02  // (11, 2)

0228  // (2, 40)
2825  // (40, 37)

1b1e  // (27, 30)
2920  // (41, 32)

2e20  // (46, 32)
3826  // (56, 38)

013b  // (1, 59)
3f25  // (63, 37)

062a  // (6, 42)
3a31  // (58, 49)

1918  // (25, 24)
2a1f  // (42, 31)

061a  // (6, 26)
2a1e  // (42, 30)

1d33  // (29, 51)
311b  // (49, 27)

0532  // (5, 50)
1f2a  // (31, 42)

0a27  // (10, 39)
2818  // (40, 24)

3133  // (49, 51)
2800  // (40, 0)

2e25  // (46, 37)
2e2b  // (46, 43)

2d38  // (45, 56)
2719  // (39, 25)

0e35  // (14, 53)
262b  // (38, 43)

091d  // (9, 29)
3f1d  // (63, 29)

221f  // (34, 31)
2538  // (37, 56)

1231  // (18, 49)
281c  // (40, 28)

1212  // (18, 18)
3c20  // (60, 32)

2725  // (39, 37)
3c0b  // (60, 11)

1b35  // (27, 53)
2600  // (38, 0)

0e00  // (14, 0)
2a28  // (42, 40)

1a20  // (26, 32)
2306  // (35, 6)

042b  // (4, 43)
0e16  // (14, 22)

031c  // (3, 28)
1a21  // (26, 33)

291f  // (41, 31)
3439  // (52, 57)

0c35  // (12, 53)
3e19  // (62, 25)

171e  // (23, 30)
1b1b  // (27, 27)

012d  // (1, 45)
3238  // (50, 56)

0215  // (2, 21)
241c  // (36, 28)

1921  // (25, 33)
2d2a  // (45, 42)

020b  // (2, 11)
2b25  // (43, 37)

0309  // (3, 9)
1239  // (18, 57)

070f  // (7, 15)
310f  // (49, 15)

002c  // (0, 44)
3015  // (48, 21)

1403  // (20, 3)
1432  // (20, 50)

1e3b  // (30, 59)
1f03  // (31, 3)

262f  // (38, 47)
3200  // (50, 0)

1102  // (17, 2)
1d3d  // (29, 61)

1d17  // (29, 23)
3832  // (56, 50)

1c01  // (28, 1)
2438  // (36, 56)

0e3c  // (14, 60)
3822  // (56, 34)

1537  // (21, 55)
3b0a  // (59, 10)

1511  // (21, 17)
022a  // (2, 42)

1733  // (23, 51)
3c0a  // (60, 10)

092d  // (9, 45)
2826  // (40, 38)

2538  // (37, 56)
2a1b  // (42, 27)

2a18  // (42, 24)
1634  // (22, 52)

0035  // (0, 53)
1305  // (19, 5)

3116  // (49, 22)
273d  // (39, 61)

1637  // (22, 55)
3e14  // (62, 20)

