193f  // (25, 63)

0028  // (0, 40)

2529  // (37, 41)

051d  // (5, 29)

2f23  // (47, 35)

2509  // (37, 9)

2d3c  // (45, 60)

3b1a  // (59, 26)

2918  // (41, 24)

1714  // (23, 20)

0528  // (5, 40)

280d  // (40, 13)

1729  // (23, 41)

2528  // (37, 40)

2a33  // (42, 51)

302b  // (48, 43)

220a  // (34, 10)

072f  // (7, 47)

1036  // (16, 54)

1f1b  // (31, 27)

071c  // (7, 28)

3616  // (54, 22)

1228  // (18, 40)

1528  // (21, 40)

3e25  // (62, 37)

191a  // (25, 26)

1e0e  // (30, 14)

203a  // (32, 58)

100c  // (16, 12)

210a  // (33, 10)

233a  // (35, 58)

0e38  // (14, 56)

2724  // (39, 36)

1018  // (16, 24)

0a16  // (10, 22)

1e19  // (30, 25)

323e  // (50, 62)

2700  // (39, 0)

3a27  // (58, 39)

272a  // (39, 42)

013f  // (1, 63)

2015  // (32, 21)

1422  // (20, 34)

0e0b  // (14, 11)

2418  // (36, 24)

2b23  // (43, 35)

2002  // (32, 2)

1f28  // (31, 40)

141f  // (20, 31)

2a0d  // (42, 13)

2835  // (40, 53)

1510  // (21, 16)

1603  // (22, 3)

3b28  // (59, 40)

3f3a  // (63, 58)

3c08  // (60, 8)

270f  // (39, 15)

0819  // (8, 25)

3a2c  // (58, 44)

0f3d  // (15, 61)

1e0a  // (30, 10)

3528  // (53, 40)

1922  // (25, 34)

2435  // (36, 53)

1825  // (24, 37)

0b18  // (11, 24)

2c19  // (44, 25)

3724  // (55, 36)

1e3c  // (30, 60)

3719  // (55, 25)

1128  // (17, 40)

0a17  // (10, 23)

3627  // (54, 39)

1228  // (18, 40)

113e  // (17, 62)

1a24  // (26, 36)

2139  // (33, 57)

2b1e  // (43, 30)

301c  // (48, 28)

1e24  // (30, 36)

261d  // (38, 29)

1005  // (16, 5)

1121  // (17, 33)

001a  // (0, 26)

1c20  // (28, 32)

2737  // (39, 55)

1500  // (21, 0)

0417  // (4, 23)

2523  // (37, 35)

2913  // (41, 19)

2124  // (33, 36)

0a17  // (10, 23)

3a29  // (58, 41)

1711  // (23, 17)

2323  // (35, 35)

2e17  // (46, 23)

332d  // (51, 45)

3e25  // (62, 37)

071f  // (7, 31)

0c10  // (12, 16)

